SPECIES,QUADRANT,TREATMENT (DS/M),HEIGHT (CM),TIME (DAY OF MONTH)
LB4.24.3,4,24,,
LB4.24.4,4,24,,
LB4.24.5,4,24,,
LB4.24.6,4,24,,
LB5.0.1,5,0,,
LB5.0.2,5,0,,
LB5.0.3,5,0,,
LB5.0.4,5,0,,
LB5.0.5,5,0,,
LB5.0.6,5,0,,
LB5.8.1,5,8,,
LB5.8.2,5,8,,
LB5.8.3,5,8,,
LB5.8.4,5,8,,
LB5.8.5,5,8,,
LB5.8.6,5,8,,
LB5.16.1,5,16,,
LB5.16.2,5,16,,
LB5.16.3,5,16,,
LB5.16.4,5,16,,
LB5.16.5,5,16,,
LB5.16.6,5,16,,
LB5.24.1,5,24,,
LB5.24.2,5,24,,
LB5.24.3,5,24,,
LB5.24.4,5,24,,
LB5.24.5,5,24,,
LB5.24.6,5,24,,
LB6.0.1,6,0,,
LB6.0.2,6,0,,
LB6.0.3,6,0,,
LB6.0.4,6,0,,
LB6.0.5,6,0,,
LB6.0.6,6,0,,
LB6.8.1,6,8,,
LB6.8.2,6,8,,
LB6.8.3,6,8,,
LB6.8.4,6,8,,
LB6.8.5,6,8,,
LB6.8.6,6,8,,
LB6.16.1,6,16,,
LB6.16.2,6,16,,
LB6.16.3,6,16,,
LB6.16.4,6,16,,
LB6.16.5,6,16,,
LB6.16.6,6,16,,
LB6.24.1,6,24,,
LB6.24.2,6,24,,
LB6.24.3,6,24,,
LB6.24.4,6,24,,
LB6.24.5,6,24,,
LB6.24.6,6,24,,
,,,,
BG1.0.1,1,0,,
BG1.0.2,1,0,,
BG1.0.3,1,0,,
BG1.0.4,1,0,,
BG1.0.5,1,0,,
BG1.0.6,1,0,,
BG1.8.1,1,8,,
BG1.8.2,1,8,,
BG1.8.3,1,8,,
BG1.8.4,1,8,,
BG1.8.5,1,8,,
BG1.8.6,1,8,,
BG1.16.1,1,16,,
BG1.16.2,1,16,,
BG1.16.3,1,16,,
BG1.16.4,1,16,,
BG1.16.5,1,16,,
BG1.16.6,1,16,,
BG1.24.1,1,24,,
BG1.24.2,1,24,,
BG1.24.3,1,24,,
BG1.24.4,1,24,,
BG1.24.5,1,24,,
BG1.24.6,1,24,,
BG2.0.1,2,0,,
BG2.0.2,2,0,,
BG2.0.3,2,0,,
BG2.0.4,2,0,,
BG2.0.5,2,0,,
BG2.0.6,2,0,,
BG2.8.1,2,8,,
BG2.8.2,2,8,,
BG2.8.3,2,8,,
BG2.8.4,2,8,,
BG2.8.5,2,8,,
BG2.8.6,2,8,,
BG2.16.1,2,16,,
BG2.16.2,2,16,,
BG2.16.3,2,16,,
BG2.16.4,2,16,,
BG2.16.5,2,16,,
BG2.16.6,2,16,,
BG2.24.1,2,24,,
BG2.24.2,2,24,,
BG2.24.3,2,24,,
BG2.24.4,2,24,,
BG2.24.5,2,24,,
BG2.24.6,2,24,,
BG3.0.1,3,0,,
BG3.0.2,3,0,,
BG3.0.3,3,0,,
BG3.0.4,3,0,,
BG3.0.5,3,0,,
BG3.0.6,3,0,,
BG3.8.1,3,8,,
BG3.8.2,3,8,,
BG3.8.3,3,8,,
BG3.8.4,3,8,,
BG3.8.5,3,8,,
BG3.8.6,3,8,,
BG3.16.1,3,16,,
BG3.16.2,3,16,,
BG3.16.3,3,16,,
BG3.16.4,3,16,,
BG3.16.5,3,16,,
BG3.16.6,3,16,,
BG3.24.1,3,24,,
BG3.24.2,3,24,,
BG3.24.3,3,24,,
BG3.24.4,3,24,,
BG3.24.5,3,24,,
BG3.24.6,3,24,,
BG4.0.1,4,0,,
BG4.0.2,4,0,,
BG4.0.3,4,0,,
BG4.0.4,4,0,,
BG4.0.5,4,0,,
BG4.0.6,4,0,,
BG4.8.1,4,8,,
BG4.8.2,4,8,,
BG4.8.3,4,8,,
BG4.8.4,4,8,,
BG4.8.5,4,8,,
BG4.8.6,4,8,,
BG4.16.1,4,16,,
BG4.16.2,4,16,,
BG4.16.3,4,16,,
BG4.16.4,4,16,,
BG4.16.5,4,16,,
BG4.16.6,4,16,,
BG4.24.1,4,24,,
BG4.24.2,4,24,,
BG4.24.3,4,24,,
BG4.24.4,4,24,,
BG4.24.5,4,24,,
BG4.24.6,4,24,,
BG5.0.1,5,0,,
BG5.0.2,5,0,,
BG5.0.3,5,0,,
BG5.0.4,5,0,,
BG5.0.5,5,0,,
BG5.0.6,5,0,,
BG5.8.1,5,8,,
BG5.8.2,5,8,,
BG5.8.3,5,8,,
BG5.8.4,5,8,,
BG5.8.5,5,8,,
BG5.8.6,5,8,,
BG5.16.1,5,16,,
BG5.16.2,5,16,,
BG5.16.3,5,16,,
BG5.16.4,5,16,,
BG5.16.5,5,16,,
BG5.16.6,5,16,,
BG5.24.1,5,24,,
BG5.24.2,5,24,,
BG5.24.3,5,24,,
BG5.24.4,5,24,,
BG5.24.5,5,24,,
BG5.24.6,5,24,,
BG6.0.1,6,0,,
BG6.0.2,6,0,,
BG6.0.3,6,0,,
BG6.0.4,6,0,,
BG6.0.5,6,0,,
BG6.0.6,6,0,,
BG6.8.1,6,8,,
BG6.8.2,6,8,,
BG6.8.3,6,8,,
BG6.8.4,6,8,,
BG6.8.5,6,8,,
BG6.8.6,6,8,,
BG6.16.1,6,16,,
BG6.16.2,6,16,,
BG6.16.3,6,16,,
BG6.16.4,6,16,,
BG6.16.5,6,16,,
BG6.16.6,6,16,,
BG6.24.1,6,24,,
BG6.24.2,6,24,,
BG6.24.3,6,24,,
BG6.24.4,6,24,,
BG6.24.5,6,24,,
BG6.24.6,6,24,,
,,,,
SG1.0.1,1,0,,
SG1.0.2,1,0,,
SG1.0.3,1,0,,
SG1.0.4,1,0,,
SG1.0.5,1,0,,
SG1.0.6,1,0,,
SG1.8.1,1,8,,
SG1.8.2,1,8,,
SG1.8.3,1,8,,
SG1.8.4,1,8,,
SG1.8.5,1,8,,
SG1.8.6,1,8,,
SG1.16.1,1,16,,
SG1.16.2,1,16,,
SG1.16.3,1,16,,
SG1.16.4,1,16,,
SG1.16.5,1,16,,
SG1.16.6,1,16,,
SG1.24.1,1,24,,
SG1.24.2,1,24,,
SG1.24.3,1,24,,
SG1.24.4,1,24,,
SG1.24.5,1,24,,
SG1.24.6,1,24,,
SG2.0.1,2,0,,
SG2.0.2,2,0,,
SG2.0.3,2,0,,
SG2.0.4,2,0,,
SG2.0.5,2,0,,
SG2.0.6,2,0,,
SG2.8.1,2,8,,
SG2.8.2,2,8,,
SG2.8.3,2,8,,
SG2.8.4,2,8,,
SG2.8.5,2,8,,
SG2.8.6,2,8,,
SG2.16.1,2,16,,
SG2.16.2,2,16,,
SG2.16.3,2,16,,
SG2.16.4,2,16,,
SG2.16.5,2,16,,
SG2.16.6,2,16,,
SG2.24.1,2,24,,
SG2.24.2,2,24,,
SG2.24.3,2,24,,
SG2.24.4,2,24,,
SG2.24.5,2,24,,
SG2.24.6,2,24,,
SG3.0.1,3,0,,
SG3.0.2,3,0,,
SG3.0.3,3,0,,
SG3.0.4,3,0,,
SG3.0.5,3,0,,
SG3.0.6,3,0,,
SG3.8.1,3,8,,
SG3.8.2,3,8,,
SG3.8.3,3,8,,
SG3.8.4,3,8,,
SG3.8.5,3,8,,
SG3.8.6,3,8,,
SG3.16.1,3,16,,
SG3.16.2,3,16,,
SG3.16.3,3,16,,
SG3.16.4,3,16,,
SG3.16.5,3,16,,
SG3.16.6,3,16,,
SG3.24.1,3,24,,
SG3.24.2,3,24,,
SG3.24.3,3,24,,
SG3.24.4,3,24,,
SG3.24.5,3,24,,
SG3.24.6,3,24,,
SG4.0.1,4,0,,
SG4.0.2,4,0,,
SG4.0.3,4,0,,
SG4.0.4,4,0,,
SG4.0.5,4,0,,
SG4.0.6,4,0,,
SG4.8.1,4,8,,
SG4.8.2,4,8,,
SG4.8.3,4,8,,
SG4.8.4,4,8,,
SG4.8.5,4,8,,
SG4.8.6,4,8,,
SG4.16.1,4,16,,
SG4.16.2,4,16,,
SG4.16.3,4,16,,
SG4.16.4,4,16,,
SG4.16.5,4,16,,
SG4.16.6,4,16,,
SG4.24.1,4,24,,
SG4.24.2,4,24,,
SG4.24.3,4,24,,
SG4.24.4,4,24,,
SG4.24.5,4,24,,
SG4.24.6,4,24,,
SG5.0.1,5,0,,
SG5.0.2,5,0,,
SG5.0.3,5,0,,
SG5.0.4,5,0,,
SG5.0.5,5,0,,
SG5.0.6,5,0,,
SG5.8.1,5,8,,
SG5.8.2,5,8,,
SG5.8.3,5,8,,
SG5.8.4,5,8,,
SG5.8.5,5,8,,
SG5.8.6,5,8,,
SG5.16.1,5,16,,
SG5.16.2,5,16,,
SG5.16.3,5,16,,
SG5.16.4,5,16,,
SG5.16.5,5,16,,
SG5.16.6,5,16,,
SG5.24.1,5,24,,
SG5.24.2,5,24,,
SG5.24.3,5,24,,
SG5.24.4,5,24,,
SG5.24.5,5,24,,
SG5.24.6,5,24,,
SG6.0.1,6,0,,
SG6.0.2,6,0,,
SG6.0.3,6,0,,
SG6.0.4,6,0,,
SG6.0.5,6,0,,
SG6.0.6,6,0,,
SG6.8.1,6,8,,
SG6.8.2,6,8,,
SG6.8.3,6,8,,
SG6.8.4,6,8,,
SG6.8.5,6,8,,
SG6.8.6,6,8,,
SG6.16.1,6,16,,
SG6.16.2,6,16,,
SG6.16.3,6,16,,
SG6.16.4,6,16,,
SG6.16.5,6,16,,
SG6.16.6,6,16,,
SG6.24.1,6,24,,
SG6.24.2,6,24,,
SG6.24.3,6,24,,
SG6.24.4,6,24,,
SG6.24.5,6,24,,
SG6.24.6,6,24,,
,,,,
BM1.0.1,1,0,6,
BG1.0.2,1,0,5,
BM1.0.3,1,0,10,
BM1.0.4,1,0,4,
BM1.0.5,1,0,7,
BM1.0.6,1,0,5,
BM1.8.1,1,8,4,
BM1.8.2,1,8,6,
BM1.8.3,1,8,7,
BM1.8.4,1,8,6,
BM1.8.5,1,8,6,
BM1.8.6,1,8,5,
BM1.16.1,1,16,2,
BM1.16.2,1,16,5,
BM1.16.3,1,16,6,
BM1.16.4,1,16,6,
BM1.16.5,1,16,6,
BM1.16.6,1,16,4,
BM1.24.1,1,24,12,
BM1.24.2,1,24,5,
BM1.24.3,1,24,3,
BM1.24.4,1,24,12,
BM1.24.5,1,24,6,
BM1.24.6,1,24,7,
BM2.0.1,2,0,,
BM2.0.2,2,0,,
BM2.0.3,2,0,,
BM2.0.4,2,0,,
BM2.0.5,2,0,,
BM2.0.6,2,0,,
BM2.8.1,2,8,,
BM2.8.1,2,8,,
BM2.8.3,2,8,,
BM2.8.4,2,8,,
BM2.8.5,2,8,,
BM2.8.6,2,8,,
BM2.16.1,2,16,,
BM2.16.2,2,16,,
BM2.16.3,2,16,,
BM2.16.4,2,16,,
BM2.16.5,2,16,,
BM2.16.6,2,16,,
BM2.24.1,2,24,,
BM2.24.2,2,24,,
BM2.24.3,2,24,,
BM2.24.4,2,24,,
BM2.24.5,2,24,,
BM2.24.6,2,24,,
BM3.0.1,3,0,,
BM3.0.2,3,0,,
BM3.0.3,3,0,,
BM3.0.4,3,0,,
BM3.0.5,3,0,,
BM3.0.6,3,0,,
BM3.8.1,3,8,,
BM3.8.2,3,8,,
BM3.8.3,3,8,,
BM3.8.4,3,8,,
BM3.8.5,3,8,,
BM3.8.6,3,8,,
BM3.16.1,3,16,,
BM3.16.2,3,16,,
BM3.16.3,3,16,,
BM3.16.4,3,16,,
BM3.16.5,3,16,,
BM3.16.6,3,16,,
BM3.24.1,3,24,,
BM3.24.2,3,24,,
BM3.24.3,3,24,,
BM3.24.4,3,24,,
BM3.24.5,3,24,,
BM3.24.6,3,24,,
BM4.0.1,4,0,,
BM4.0.2,4,0,,
BM4.0.3,4,0,,
BM4.0.4,4,0,,
BM4.0.5,4,0,,
BM4.0.6,4,0,,
BM4.8.1,4,8,,
BM4.8.2,4,8,,
BM4.8.3,4,8,,
BM4.8.4,4,8,,
BM4.8.5,4,8,,
BM4.8.6,4,8,,
BM4.16.1,4,16,,
BM4.16.2,4,16,,
BM4.16.3,4,16,,
BM4.16.4,4,16,,
BM4.16.5,4,16,,
BM4.16.6,4,16,,
BM4.24.1,4,24,,
BM4.24.2,4,24,,
BM4.24.3,4,24,,
BM4.24.4,4,24,,
BM4.24.5,4,24,,
BM4.24.6,4,24,,
BM5.0.1,5,0,,
BM5.0.2,5,0,,
BM5.0.3,5,0,,
BM5.0.4,5,0,,
BM5.0.5,5,0,,
BM5.0.6,5,0,,
BM5.8.1,5,8,,
BM5.8.2,5,8,,
BM5.8.3,5,8,,
BM5.8.4,5,8,,
BM5.8.5,5,8,,
BM5.8.6,5,8,,
BM5.16.1,5,16,,
BM5.16.2,5,16,,
BM5.16.3,5,16,,
BM5.16.4,5,16,,
BM5.16.5,5,16,,
BM5.16.6,5,16,,
BM5.24.1,5,24,,
BM5.24.2,5,24,,
BM5.24.3,5,24,,
BM5.24.4,5,24,,
BM5.24.5,5,24,,
BM5.24.6,5,24,,
BM6.0.1,6,0,,
BM6.0.2,6,0,,
BM6.0.3,6,0,,
BM6.0.4,6,0,,
BM6.0.5,6,0,,
BM6.0.6,6,0,,
BM6.8.1,6,8,,
BM6.8.2,6,8,,
BM6.8.3,6,8,,
BM6.8.4,6,8,,
BM6.8.5,6,8,,
BM6.8.6,6,8,,
BM6.16.1,6,16,,
BM6.16.2,6,16,,
BM6.16.3,6,16,,
BM6.16.4,6,16,,
BM6.16.5,6,16,,
BM6.16.6,6,16,,
BM6.24.1,6,24,,
BM6.24.2,6,24,,
BM6.24.3,6,24,,
BM6.24.4,6,24,,
BM6.24.5,6,24,,
BM6.24.6,6,24,,
